Name	us_map_img_x	us_map_img_y	color	start_year	1790	1791	1792	1793	1794	1795	1796	1797	1798	1799	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809	1810	1811	1812	1813	1814	1815	1816	1817	1818	1819	1820	1821	1822	1823	1824	1825	1826	1827	1828	1829	1830	1831	1832	1833	1834	1835	1836	1837	1838	1839	1840	1841	1842	1843	1844	1845	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Alabama	0	0	4	1819	0	3	19	52	108	194	315	477	684	940	1250	1554	1806	2034	2281	2604	3073	3783	4870	6530	9046	12868	18403	25912	35563	47387	61248	76827	93615	110923	127901	144420	160996	177671	194537	211723	229394	247755	267043	287530	309527	333494	359490	387207	416277	446271	476694	506991	536549	564705	590756	614287	635569	654931	672744	689414	705374	721083	737022	753693	771623	791065	811654	832980	854616	876110	896987	916753	934895	950890	964200	973431	978273	979855	979329	977856	976597	976712	979361	985718	996991	1013431	1034018	1058089	1084961	1113925	1144233	1175097	1205686	1235126	1262504	1288116	1313014	1337407	1361513	1385558	1409777	1434415	1459722	1485961	1513401	1542165	1572075	1602944	1634580	1666783	1699344	1732045	1764661	1796959	1828697	1860380	1892533	1924930	1957339	1989520	2021225	2052199	2082180	2110902	2138093	2163074	2185699	2206499	2226020	2244819	2263462	2282527	2302600	2324279	2348174	2374684	2403443	2433905	2465514	2497699	2529874	2561438	2591776	2620259	2646248	2669501	2690505	2709707	2727565	2744544	2761115	2777755	2794949	2813185	2832960	2854176	2876274	2899068	2922368	2945980	2969708	2993352	3016711	3039577	3061742	3083371	3104762	3125910	3146812	3167461	3187852	3207980	3227841	3247429	3266740	3284495	3299975	3314018	3327469	3341184	3356022	3372854	3392557	3440000	3449846	3497452	3540080	3580769	3627805	3680533	3737204	3782736	3834120	3869444	3900368	3918533	3925263	3934100	3951824	3972520	3991569	4015262	4023842	4030219	4050055	4099156	4154014	4214202	4260229	4296800	4331102	4367935	4404701	4430141	4452173	4467634	4480089	4503491	4530729	4569805	4628981	4672840	4718206	4757938	4779736	4780125	4785437	4799069	4815588	4830081	4841799	4852347	4863525	4874486	4887681	4903185	5005826	5108468	5143033
Alaska	1	0	0	1959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	775	2236	4750	8399	13077	18478	24112	29337	33426	35970	37164	37242	36501	35263	33844	32541	31631	31376	32052	33691	36054	39035	42513	46341	50347	54322	58032	61214	63592	65188	66249	66843	67042	66922	66565	66050	65457	64867	64356	63748	62869	61797	60609	59380	58181	57081	56147	55444	55036	54885	54901	55070	55375	55803	56338	56968	57678	58453	59278	60064	60779	61490	62266	63179	64303	65714	67495	69733	72524	75923	79901	84434	89492	95045	101054	107474	114255	121334	128643	136488	145158	154538	164493	174868	185489	196156	206652	216740	226167	234796	242751	250163	257177	263951	270650	277453	284544	296000	304328	316494	326494	333232	344696	370973	393115	397363	402191	403544	405315	418493	449606	488418	513704	532496	544269	539310	541984	547160	553290	570193	588736	599432	603308	604412	608569	612968	619932	624779	627963	633714	642337	648414	659286	666946	675302	680300	687455	698895	710231	710249	713910	722128	730443	737068	736283	737498	741456	739700	735139	731545	732475	733406	733536
American Samoa	3	7	5	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	181	521	1105	1955	3052	4332	5691	6986	8055	8836	9386	9731	9906	9958	9933	9881	9852	9893	10055	10272	10458	10629	10801	10991	11219	11504	11865	12325	12907	13701	14746	16000	17410	18914	20439	21898	23195	24227	24889	25094	24888	24369	23639	22798	21941	21157	20529	20134	20051	20267	20694	21295	22035	22879	23786	24714	25619	26451	27158	27732	28212	28629	29009	29385	29786	30244	30792	31464	32297	33325	34542	35915	37413	38998	40634	42276	43879	45395	46772	48068	49363	50638	51875	53052	54148	55142	56012	56736	57291	57652	57825	57834	57706	57467	57143	56760	56345	55922	55519	55066	54503	53862	53173	52467	51775	51124	50545	50064	49710	49481	49388	49295	49304
Arizona	2	0	3	1912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	176	489	1025	1824	2907	4272	5891	7712	9658	11751	14079	16641	19433	22449	25678	29108	32724	36508	40440	44589	49020	53696	58569	63582	68673	73767	78786	83642	88243	92364	95924	99056	101911	104648	107439	110465	113918	117999	122931	128672	135016	141943	149431	157455	165984	174982	184408	194217	204354	215165	226948	239553	252815	266546	280537	294557	308351	321649	334162	345983	357409	368442	379089	389359	399264	408819	418042	426953	435573	442974	448576	452941	456649	460295	464483	469826	476958	486537	499261	514693	531966	551173	572418	595813	621479	649544	680150	713444	749586	790325	836846	888403	944149	1003108	1064167	1126067	1187408	1246656	1302161	1352520	1398260	1440645	1481054	1520964	1561937	1605621	1653756	1737000	1794912	1896108	2008847	2125281	2224342	2286348	2347976	2427310	2517852	2638582	2737774	2810108	2889860	2968924	3067134	3183539	3308261	3437103	3535183	3622184	3684097	3788576	3915740	4065440	4245089	4432499	4586940	4736990	4883342	5023823	5160586	5273477	5396255	5510364	5652404	5839077	6029141	6167681	6280362	6343154	6392017	6392288	6407172	6472643	6554978	6632764	6730413	6829676	6941072	7044008	7158024	7278717	7355030	7431344	7497004
Arkansas	3	0	4	1836	0	0	0	0	0	0	0	0	0	0	0	2	12	32	65	118	198	316	487	728	1062	1538	2209	3099	4220	5570	7126	8845	10665	12506	14272	15845	17202	18403	19522	20649	21882	23335	25134	27427	30388	34122	38605	43838	49808	56483	63806	71698	80051	88730	97573	106524	115690	125153	135009	145371	156368	168145	180866	194715	209897	227336	247567	270161	294588	320205	346245	371821	395943	417531	435450	448192	455755	459342	460246	459798	459336	460201	463740	471339	484471	503450	527164	555032	586422	620632	656866	694227	731711	768211	802525	835763	869702	904060	938530	972789	1006491	1039271	1070750	1100531	1128210	1152901	1174386	1193290	1210270	1226011	1241221	1256627	1272972	1291022	1311564	1334716	1359783	1386338	1413939	1442126	1470419	1498322	1525319	1550876	1574448	1596299	1617093	1636883	1655724	1673672	1690788	1707134	1722774	1737774	1752203	1765664	1777845	1788952	1799193	1808780	1817926	1826849	1835768	1844904	1854482	1864871	1876054	1887664	1899333	1910688	1921349	1930935	1939062	1945341	1949387	1951283	1951470	1950096	1947311	1943268	1938119	1932016	1925113	1917560	1909511	1899273	1885776	1870094	1853289	1836407	1820474	1806500	1795482	1788408	1786271	1788465	1793608	1801548	1812136	1825226	1840677	1858349	1878102	1913000	1930077	1972028	2018116	2058491	2100385	2158291	2168688	2207228	2241019	2269115	2288738	2293204	2294254	2305766	2319767	2327046	2331988	2342357	2342655	2346354	2356586	2383144	2415984	2456303	2494019	2535399	2572109	2601090	2626289	2651860	2678588	2691571	2705927	2724816	2749686	2781097	2821761	2848650	2874554	2896843	2915918	2916031	2921964	2940667	2952164	2959400	2967392	2978048	2989918	3001345	3009733	3017804	3042768	3067732	3089060
California	4	0	0	1850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	1702	4716	9886	17593	28025	41146	56676	74082	92597	112898	136238	162437	191172	221965	254187	287064	319686	351033	379994	405404	427172	445871	462207	476981	491070	505414	521007	538907	560247	584737	611169	639352	669073	700097	732163	764983	798243	831602	864694	898125	932608	967902	1003746	1039860	1075946	1111685	1146743	1180769	1213397	1242185	1265969	1286372	1305095	1323897	1344592	1369050	1399218	1437152	1485053	1544226	1613700	1692351	1778957	1872159	1970437	2072092	2175240	2277809	2377548	2472517	2563594	2652781	2742244	2834309	2931458	3036339	3151790	3280860	3426861	3597149	3794054	4013239	4249831	4498314	4752466	5005348	5249339	5476209	5677251	5842477	5973248	6078198	6166535	6247867	6332096	6429396	6550277	6705718	6907387	7155430	7439792	7757398	8104939	8478781	8874909	9288875	9715763	10150174	10586223	11037092	11517111	12021414	12544652	13080962	13623954	14166719	14701842	15221438	15717204	16189714	16646258	17088467	17518148	17937268	18347943	18752425	19153096	19711000	20023181	20345575	20584794	20867737	21172548	21536715	21934505	22350247	22838960	23255069	23800800	24285933	24820007	25360023	25844397	26441107	27102238	27777160	28464250	29218165	29959515	30470736	30974659	31274928	31484435	31696582	32018834	32486010	32987675	33499204	33987977	34479458	34871843	35253159	35574576	35827943	36021202	36250311	36604337	36961229	37253956	37254519	37319502	37638369	37948800	38260787	38596972	38918045	39167117	39358497	39461588	39512223	39238708	38965193	38889770
Colorado	5	0	0	1876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	778	2238	4749	8402	13106	18579	24357	29826	34277	37049	38156	37985	37000	35682	34493	33863	34217	36022	39864	46127	54762	65835	79347	95186	113096	132651	153249	174117	194327	214469	235708	257840	280626	303788	327014	349958	372247	393483	413248	430578	445128	457463	468215	478058	487704	497897	509411	523058	539700	559821	582954	608550	636012	664686	693856	722743	750503	776243	799023	818920	836801	852908	867502	880858	893269	905036	916470	927892	939629	951226	962078	972294	981986	991270	1000263	1009088	1017867	1026725	1035791	1044449	1052218	1059431	1066424	1073539	1081125	1089531	1099116	1110246	1123296	1137686	1152731	1168652	1185682	1204057	1224024	1245838	1269765	1296084	1325088	1357651	1394094	1433882	1476448	1521196	1567488	1614649	1661958	1708658	1753946	1797591	1840215	1882299	1924348	1966891	2010482	2055697	2103140	2166000	2223979	2303502	2404576	2495803	2541318	2586144	2632244	2696007	2766725	2849181	2908803	2977899	3061562	3133634	3169995	3208726	3237448	3260477	3262280	3275815	3307618	3387119	3495939	3613734	3724168	3826653	3919972	4018293	4116639	4226018	4326921	4425687	4490406	4528732	4575013	4631888	4720423	4803868	4889730	4972195	5029196	5029319	5047349	5121108	5192647	5269035	5350101	5450623	5539215	5611885	5691287	5758736	5818173	5877610	5914181
Connecticut	6	0	2	1788	237946	238723	239737	240943	242298	243757	245274	246803	248299	249714	251002	252180	253310	254402	255470	256524	257578	258644	259735	260863	262042	263230	264393	265550	266721	267927	269189	270526	271959	273511	275201	277102	279230	281532	283951	286431	288912	291338	293648	295780	297675	299128	300086	300715	301181	301651	302293	303275	304767	306942	309978	313863	318423	323590	329297	335473	342048	348946	356090	363400	370792	378515	386809	395571	404691	414055	423543	433029	442384	451470	460147	468411	476394	484151	491744	499234	506685	514163	521737	529476	537454	545498	553437	561348	569307	577393	585690	594281	603253	612695	622700	633239	644217	655619	667435	679651	692255	705232	718569	732249	746258	760626	775401	790582	806173	822175	838591	855421	872668	890334	908420	926911	945809	965139	984926	1005195	1025974	1047291	1069173	1091651	1114756	1138895	1164299	1190718	1217891	1245547	1273400	1301151	1328490	1355094	1380631	1405598	1430594	1455425	1479888	1503773	1526869	1548955	1569807	1589200	1606903	1621648	1632915	1641608	1648651	1654979	1661535	1669271	1679147	1692138	1709241	1729755	1752302	1776890	1803530	1832233	1863016	1895893	1930882	1968004	2007280	2049979	2096916	2147404	2200727	2256132	2312826	2369977	2426712	2482114	2535233	2588180	2643106	2699061	2755056	2810061	2863007	2912789	2958273	3000000	3038782	3061448	3069617	3069140	3075784	3084726	3085984	3088729	3094839	3099907	3113174	3128837	3139014	3162355	3180014	3201131	3223741	3247290	3271954	3283404	3291967	3302895	3300712	3309175	3316121	3324144	3336685	3349348	3365352	3386401	3411777	3432835	3458749	3484336	3496094	3506956	3517460	3527270	3545579	3561807	3574097	3574147	3579114	3588283	3594547	3594841	3594524	3587122	3578141	3573297	3571520	3565287	3591231	3617176	3625646
Delaware	0	1	2	1787	59096	59385	59743	60162	60636	61159	61725	62325	62955	63606	64273	65010	65857	66784	67757	68745	69713	70626	71448	72143	72674	73012	73177	73206	73137	73006	72852	72712	72623	72623	72748	72998	73333	73734	74182	74657	75140	75611	76049	76435	76748	76939	77005	76986	76925	76866	76851	76922	77122	77495	78084	78886	79853	80970	82220	83585	85050	86596	88204	89856	91532	93312	95268	97360	99548	101790	104043	106261	108395	110397	112215	113810	115205	116447	117583	118663	119738	120857	122074	123442	125015	126792	128722	130780	132942	135182	137474	139792	142106	144388	146607	148810	151052	153317	155590	157856	160098	162300	164444	166515	168493	170356	172110	173775	175370	176919	178442	179963	181503	183085	184735	186424	188117	189817	191529	193258	195008	196784	198592	200436	202322	204281	206329	208441	210595	212766	214929	217061	219134	221123	223003	224712	226245	227652	228983	230293	231633	233057	234619	236374	238380	240558	242810	245161	247635	250257	253053	256048	259269	262745	266504	270361	274184	278088	282190	286612	291479	296920	303072	310077	318084	327479	338382	350547	363711	377594	391890	406271	420385	433856	446292	457996	469511	480784	491759	502379	512587	522322	531527	540000	550332	565207	573821	579078	583150	588756	592755	594821	598188	598830	594919	595974	599148	605459	611565	618279	627559	636946	647621	658274	669567	683080	694925	706378	717545	729734	740977	751487	763335	774990	786373	795699	806169	818003	830803	845150	859268	871749	883874	891730	897934	897937	899593	907381	915179	923576	932487	941252	948921	956823	965479	973764	1002827	1031890	1044321
District of Columbia	2	7	5	1790	0	31	173	493	1042	1848	2900	4154	5526	6903	8144	9207	10151	10981	11710	12360	12958	13533	14118	14751	15470	16252	17041	17834	18630	19427	20221	21012	21796	22572	23336	24094	24851	25602	26343	27068	27771	28448	29092	29698	30261	30709	31009	31206	31346	31479	31651	31913	32314	32906	33744	34848	36179	37715	39430	41296	43282	45353	47472	49598	51687	53685	55606	57501	59422	61429	63583	65951	68604	71618	75079	79142	83850	89118	94852	100941	107258	113660	119987	126063	131700	136891	141795	146459	150940	155296	159594	163900	168289	172837	177624	182633	187776	193028	198362	203749	209159	214562	219925	225213	230392	235435	240361	245192	249956	254679	259389	264117	268893	273749	278718	283586	288197	292671	297130	301704	306525	311727	317453	323849	331069	339487	349198	359935	371413	383331	395366	407178	418403	428665	437571	444589	449771	453610	456616	459308	462216	465873	470823	477627	486869	498890	513364	529884	548025	567332	587319	607463	627206	645956	663091	679514	696343	713241	729855	745818	760749	774253	785930	795373	802178	805641	805748	803146	798493	792447	785666	778795	772471	767318	763956	762506	762386	763155	764373	765602	766401	766329	764945	762000	755087	750641	743775	733674	720755	710308	696305	681768	670046	655616	638284	636893	634174	632433	633382	634549	638269	636930	630432	624168	605321	600870	597565	595301	589239	580517	572377	567736	565230	570213	572046	574504	573158	568502	567754	567136	570681	574404	580236	592228	601723	601767	605226	619800	634924	650581	662328	675400	685815	694906	701547	705749	692360	678972	686995
Florida	1	1	4	1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	760	2171	4598	8143	12746	18176	24031	29765	34730	38666	41795	44197	45999	47364	48476	49531	50736	52307	54476	57092	59839	62723	65753	68936	72281	75795	79487	83367	87445	91826	96579	101654	106992	112530	118194	123905	129577	135117	140424	145385	150015	154407	158661	162884	167191	171702	176541	181842	187747	194202	201052	208293	215922	223933	232322	241080	250201	259675	269493	279802	290723	302194	314147	326510	339201	352135	365218	378349	391422	404249	416817	429277	441794	454541	467702	481471	496053	511667	528542	546983	566996	588356	610821	634129	657997	682119	706166	729789	752618	773808	793181	811389	829121	847101	866084	886858	910254	937146	968470	1005306	1047573	1094477	1145153	1198649	1253916	1309806	1365065	1418344	1468211	1513469	1554669	1593010	1629770	1666300	1704014	1744390	1788977	1839407	1897413	1960118	2024277	2091227	2162391	2239288	2323541	2416897	2521241	2638628	2771305	2925867	3105401	3306791	3526462	3760274	4003454	4250567	4495518	4731597	4951560	5152605	5339098	5514507	5682657	5847679	6013978	6186221	6369342	6641000	6845353	7163026	7520324	7927099	8317034	8541660	8695356	8888958	9131554	9470585	9839835	10192775	10471405	10749849	11039925	11351120	11667503	11997282	12306400	12637718	13033307	13369798	13650553	13927185	14239444	14537875	14853360	15186304	15486559	15759421	16047515	16356966	16689370	17004085	17415318	17842038	18166990	18367842	18527305	18652644	18801310	18804564	18845537	19053237	19297822	19545621	19845911	20209042	20613477	20963613	21244317	21477737	22044231	22610726	22975931
Georgia	2	1	4	1788	82547	86610	92039	98695	106427	115055	124365	134102	143967	153621	162686	171352	180076	188852	197675	206540	215445	224385	233360	242367	251407	260152	268393	276314	284111	291997	300192	308932	318466	329057	340989	354520	369588	385991	403512	421908	440913	460237	479562	498545	516823	534410	551646	568636	585494	602346	619322	636563	654216	672438	691391	711365	732379	754196	776563	799212	821857	844198	865921	886696	906185	924346	941453	957636	973032	987783	1002039	1015955	1029692	1043412	1057286	1070144	1081136	1090921	1100176	1109588	1119860	1131704	1145852	1163058	1184109	1209820	1239979	1273830	1310590	1349428	1389466	1429773	1469360	1507191	1542180	1574379	1604840	1633958	1662152	1689856	1717521	1745614	1774616	1805024	1837353	1871562	1907138	1943888	1981614	2020111	2059163	2098547	2138031	2177376	2216331	2255526	2295569	2336169	2377022	2417812	2458215	2497896	2536511	2573706	2609120	2643607	2677985	2711824	2744688	2776130	2805693	2832914	2857325	2878455	2895832	2907619	2913235	2914105	2911671	2907377	2902670	2898991	2897776	2900465	2908505	2921202	2936682	2954641	2974772	2996769	3020321	3045114	3070829	3097142	3123722	3150621	3178216	3206675	3236163	3266854	3298920	3332541	3367899	3405181	3444578	3486228	3530055	3575933	3623731	3673315	3724550	3777295	3831404	3886729	3943115	4000515	4059083	4118979	4180363	4243401	4308266	4375131	4444179	4551000	4605421	4710272	4807151	4906940	4994870	5058535	5126155	5211771	5286148	5391265	5486174	5568346	5649788	5728248	5834943	5962639	6084645	6208479	6316139	6411117	6512602	6653005	6817203	6978240	7157165	7328413	7501069	7685099	7863536	8045965	8227303	8377038	8508256	8622793	8769252	8925922	9155813	9349988	9504843	9620846	9687653	9688729	9711881	9802431	9901430	9972479	10067278	10178447	10301890	10410330	10511131	10617423	10823325	11029227	11145304
Guam	4	7	5	1899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	269	774	1643	2907	4533	6422	8412	10289	11806	12855	13519	13848	13911	13788	13564	13320	13138	13097	13275	13632	14063	14557	15100	15678	16275	16875	17460	18011	18509	18855	19011	19048	19040	19060	19183	19482	20039	20941	22289	24280	26990	30349	34265	38612	43222	47883	52345	56319	59497	61786	63372	64375	64930	65180	65271	65354	65575	66087	67043	68364	69850	71481	73233	75086	77014	78993	80997	82997	84965	86913	88875	90859	92872	94920	97012	99156	101359	103630	105978	108447	111054	113772	116569	119415	122276	125118	127903	130594	133152	135641	138136	140608	143030	145372	147603	149694	151612	153326	154805	156031	157025	157809	158406	158838	159129	159302	159382	159392	159358	159187	158805	158259	157598	156869	156118	155393	154741	154206	153836	153614	153524	153433	153442
Hawaii	3	1	0	1959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	3471	9962	21130	37389	58366	82846	108808	133566	154001	168868	179260	185677	188857	189678	189086	188048	187524	188473	191874	196928	202179	207661	213412	219470	225875	232673	239907	247625	255881	265085	275468	286795	298813	311245	323791	336126	347904	358756	368300	376363	383182	388985	394018	398534	402795	407068	411629	416756	422737	429250	435822	442526	449437	456633	464195	472204	480746	489912	499794	510595	522365	534962	548237	562033	576185	590522	604860	619009	632772	646056	659002	671748	684444	697242	710301	723788	737874	743000	762920	791580	818104	841851	858121	875052	892335	915749	928816	950050	967710	978195	993780	1012717	1027922	1039698	1051762	1067917	1079827	1094588	1113491	1136754	1158613	1172838	1187536	1196854	1203755	1211640	1215233	1210300	1213519	1225948	1239613	1251154	1273569	1292729	1309731	1315675	1332213	1346717	1360301	1360307	1363963	1379329	1394804	1408243	1414538	1422052	1427559	1424393	1420593	1415872	1425505	1435138	1430877
